name,nom,latin,,,,
Northern bottlenose whale,Baleine à bec commune,Hyperoodon ampullatus,,,,
Cuvier’s beaked whale,Baleine à bec de Cuvier,Ziphius cavirostris,,,,
Sowerby’s beaked whale,Baleine à bec de Sowerby,Mesoplodon bidens,,,,
Blue Whale,Rorqual bleu,Balaenoptera musculus,,,,
Fin Whale,Rorqual commun,Balaenoptera physalus,,,,
Humpback Whale,Rorqual à bosse,Megaptera novaeangliae,,,,
Minke Whale,Petit rorqual,Balaenoptera acutorostrata,,,,
North Atlantic Right Whale,Baleine noire de l'Atlantique nord,Eubalaena glacialis,,,,
Sei Whale,Rorqual de Rudolphi,Balaenoptera borealis,,,,
Beluga Whale,Beluga,Delphinapterus leucas,,,,
Killer whale ,Épaulard,Orcinus orca,,,,
Long-finned Pilot Whale,Globicéphale noir,Globicephala melas,,,,
Harbour Porpoise,Marsouin commun,Phocoena phocoena,,,,
Sperm Whale,Cachalot,Physeter macrocephalus,,,,
Atlantic white-sided dolphin ,Dauphin à flanc blanc,Lagenorhynchus acutus,,,,
Common dolphin ,Dauphin commun,Delphinus delphis,,,,
White-beaked dolphin,Dauphin à nez blanc,Lagenorhynchus albirostris,,,,
Risso’s dolphin,Dauphin de Risso,Grampus griseus,,,,
Harbour seal,Phoque commun,Phoca vitulina,,,,
Grey seal,Phoque gris,Halichoerus grypus,,,,
Harp seal,Phoque du Groenland,Pagophilus groenlandicus,,,,
Hooded seal,Phoque à capuchon,Cystophora cristata,,,,
Leatherback turtle ,Tortue luth,Dermochelys coriacea,,,,
Loggerhead turtle,Tortue caouanne,Caretta caretta,,,,
