CRS_NAME,CRS_PI_NAME,CRS_INSTITUTE_NAME,CRS_GEOGRAPHIC_LOCATION,CRS_START_DATE,CRS_END_DATE,CRS_NOTES
EN-606,,,,,,
Endeavor,,,,,,
HUD-2012-042,,,,,,
HUD-2013-004,,,,,,
HUD-2013-008,,,,,,
HUD-2013-037,,,,,,
HUD-2013-042,,,,,,
HUD-2014-004,,,,,,
HUD-2014-007,,,,,,
HUD-2014-017,,,,,,
HUD-2014-030,,,,,,
HUD-2015-006,,,,,,
HUD-2015-011,,,,,,
HUD-2015-030,,,,,,
HUD-2016-003,,,,,,
HUD-2016-006,,,,,,
HUD-2016-027,,,,,,
HUD-2018-030,,,,,,
Perley,,,,,,
Perley 88,,,,,,
Shirley & Philip,,,,,,
Unknown,,,,,,
